symbol,timeframe,start_ts,decision_ts,exit_ts,entry_price,exit_price,sig_trend_direction,sig_recent_momentum,sig_volume_relative,sig_price_vs_ma25,sig_ma_cross_7_25,sig_rsi_zone,sig_support_resistance,bias_score,bias_direction,bias_strength,outcome_direction,outcome_pct,outcome_whipsaw,edu_score,coherence,rank_in_tf,diversity_tag
DOGEUSDT,1d,2024-11-10,2025-04-05,2025-04-17,0.16887,0.15579,bearish_strong,mixed,normal,touching,fresh_bearish_cross,neutral_low,mid_range,-5,bearish,strong,down,-7.75,False,90,confirmed,9,confirmed_bearish
DOGEUSDT,1h,2023-10-19 21:00:00,2023-10-25 23:00:00,2023-10-26 11:00:00,0.068360001,0.073980004,bullish_strong,mixed,normal,above,recent_bullish_cross,neutral_high,mid_range,5,bullish,strong,up,8.22,False,90,confirmed,2,confirmed_bullish
XRPUSDT,1d,2021-02-11,2021-07-07,2021-07-19,0.6516,0.55690002,bearish_strong,mixed,falling,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-14.53,False,90,confirmed,10,confirmed_bearish
BTCUSDT,1d,2024-06-02,2024-10-26,2024-11-07,67071.797,75859.398,bullish_strong,mixed,normal,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,13.1,False,90,confirmed,25,confirmed_bullish
LTCUSDT,1d,2020-03-21,2020-08-14,2020-08-26,56.860001,58.200001,bullish_strong,mixed,normal,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,2.36,False,90,confirmed,24,confirmed_bullish
SOLUSDT,1d,2025-02-19,2025-07-15,2025-07-27,163.99001,188.55,bullish_strong,indecisive,normal,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,14.98,False,90,confirmed,23,confirmed_bullish
LTCUSDT,1d,2021-05-21,2021-10-14,2021-10-26,181.53,197.67999,bullish_strong,mixed,normal,above,recent_bullish_cross,neutral_high,mid_range,5,bullish,strong,up,8.9,False,90,confirmed,22,confirmed_bullish
LTCUSDT,1d,2021-06-14,2021-11-07,2021-11-19,202.28999,217.94,bullish_strong,mixed,falling,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,7.74,False,90,confirmed,21,confirmed_bullish
ADAUSDT,1d,2025-02-15,2025-07-11,2025-07-23,0.70929998,0.81569999,bullish_strong,accelerating_up,rising,far_above,fresh_bullish_cross,neutral_high,mid_range,8,bullish,strong,up,15.0,False,90,confirmed,20,confirmed_bullish
DOTUSDT,1d,2023-07-14,2023-12-07,2023-12-19,6.2470002,6.7069998,bullish_strong,accelerating_up,rising,far_above,ma7_above_stable,overbought,mid_range,5,bullish,strong,up,7.36,False,90,confirmed,19,confirmed_bullish
BTCUSDT,1d,2022-10-23,2023-03-18,2023-03-30,26907.0,28015.0,bullish_strong,mixed,rising,far_above,fresh_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,4.12,False,90,confirmed,18,confirmed_bullish
XRPUSDT,1d,2024-04-25,2024-09-18,2024-09-30,0.5851,0.61129999,bullish_strong,mixed,normal,above,fresh_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,4.48,False,90,confirmed,17,confirmed_bullish
BTCUSDT,1d,2023-01-27,2023-06-22,2023-07-04,29875.0,30756.1,bullish_strong,mixed,rising,far_above,fresh_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,2.95,False,90,confirmed,16,confirmed_bullish
BTCUSDT,1d,2023-07-02,2023-11-25,2023-12-07,37766.602,43296.0,bullish_strong,mixed,normal,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,14.64,False,90,confirmed,15,confirmed_bullish
